./http/proxy/http-client-server-test -c 500 -i 5000 -r 1

CLIENT TRANS SUCCESS: QPS=122327.00, N=122327, AVG LAT MSEC=2.80, MIN LAT MSEC=0.02, MAX LAT MSEC=30.57
CLIENT TRANS SUCCESS: QPS=158970.00, N=158970, AVG LAT MSEC=3.14, MIN LAT MSEC=0.62, MAX LAT MSEC=17.73
CLIENT TRANS SUCCESS: QPS=163070.00, N=163070, AVG LAT MSEC=3.06, MIN LAT MSEC=0.31, MAX LAT MSEC=18.06
CLIENT TRANS SUCCESS: QPS=154978.00, N=154978, AVG LAT MSEC=3.23, MIN LAT MSEC=0.34, MAX LAT MSEC=24.84
CLIENT TRANS SUCCESS: QPS=168281.00, N=168281, AVG LAT MSEC=2.96, MIN LAT MSEC=0.50, MAX LAT MSEC=19.09
CLIENT TRANS SUCCESS: QPS=171738.00, N=171738, AVG LAT MSEC=2.92, MIN LAT MSEC=0.39, MAX LAT MSEC=26.30
CLIENT TRANS SUCCESS: QPS=166271.00, N=166271, AVG LAT MSEC=3.01, MIN LAT MSEC=0.53, MAX LAT MSEC=18.98
CLIENT TRANS SUCCESS: QPS=165587.00, N=165587, AVG LAT MSEC=3.02, MIN LAT MSEC=0.46, MAX LAT MSEC=26.17
CLIENT TRANS SUCCESS: QPS=164588.00, N=164588, AVG LAT MSEC=3.04, MIN LAT MSEC=0.48, MAX LAT MSEC=19.43
CLIENT TRANS SUCCESS: QPS=166400.00, N=166400, AVG LAT MSEC=3.00, MIN LAT MSEC=0.48, MAX LAT MSEC=22.67
CLIENT TRANS SUCCESS: QPS=162042.00, N=162042, AVG LAT MSEC=3.08, MIN LAT MSEC=0.47, MAX LAT MSEC=19.35
CLIENT TRANS SUCCESS: QPS=154518.00, N=154518, AVG LAT MSEC=3.24, MIN LAT MSEC=0.67, MAX LAT MSEC=19.86
CLIENT TRANS SUCCESS: QPS=157335.00, N=157335, AVG LAT MSEC=3.18, MIN LAT MSEC=0.49, MAX LAT MSEC=19.18
CLIENT TRANS SUCCESS: QPS=149454.00, N=149454, AVG LAT MSEC=3.34, MIN LAT MSEC=0.49, MAX LAT MSEC=24.58
CLIENT TRANS SUCCESS: QPS=151828.00, N=151828, AVG LAT MSEC=3.29, MIN LAT MSEC=0.40, MAX LAT MSEC=16.86
CLIENT TRANS SUCCESS: QPS=122613.00, N=122613, AVG LAT MSEC=2.72, MIN LAT MSEC=0.04, MAX LAT MSEC=23.00
SERVER CONNECTION ACCEPTS: 503
SERVER AVG TRANS PER CONNECTION: 4970.18

./http/proxy/http-client-server-test -c 500 -i 5000 -r 0

CLIENT TRANS SUCCESS: QPS=8598.00, N=8598, AVG LAT MSEC=7.49, MIN LAT MSEC=0.08, MAX LAT MSEC=32.75
CLIENT TRANS SUCCESS: QPS=54316.00, N=54316, AVG LAT MSEC=4.06, MIN LAT MSEC=0.31, MAX LAT MSEC=1010.05
CLIENT TRANS SUCCESS: QPS=61320.00, N=61320, AVG LAT MSEC=7.08, MIN LAT MSEC=0.12, MAX LAT MSEC=1048.23
CLIENT TRANS SUCCESS: QPS=57286.00, N=57286, AVG LAT MSEC=8.98, MIN LAT MSEC=0.27, MAX LAT MSEC=1237.18
