./http/proxy/http-client-server-test -c 500 -i 5000 -r 1

# Slowdown from 150k-170k qps to 130k-150k qps after fixing asan and tsan errors.  But max latency
# is now only half as bad.

CLIENT TRANS SUCCESS: QPS=12010.00, N=12010, AVG LAT MSEC=2.51, MIN LAT MSEC=0.04, MAX LAT MSEC=22.83
CLIENT TRANS SUCCESS: QPS=156471.00, N=156471, AVG LAT MSEC=3.20, MIN LAT MSEC=1.26, MAX LAT MSEC=9.24
CLIENT TRANS SUCCESS: QPS=149586.00, N=149586, AVG LAT MSEC=3.34, MIN LAT MSEC=1.21, MAX LAT MSEC=13.58
CLIENT TRANS SUCCESS: QPS=154508.00, N=154508, AVG LAT MSEC=3.24, MIN LAT MSEC=1.32, MAX LAT MSEC=7.26
CLIENT TRANS SUCCESS: QPS=143959.00, N=143959, AVG LAT MSEC=3.47, MIN LAT MSEC=1.40, MAX LAT MSEC=9.07
CLIENT TRANS SUCCESS: QPS=149478.00, N=149478, AVG LAT MSEC=3.34, MIN LAT MSEC=1.41, MAX LAT MSEC=11.71
CLIENT TRANS SUCCESS: QPS=144678.00, N=144678, AVG LAT MSEC=3.46, MIN LAT MSEC=1.35, MAX LAT MSEC=10.22
CLIENT TRANS SUCCESS: QPS=147887.00, N=147887, AVG LAT MSEC=3.38, MIN LAT MSEC=1.36, MAX LAT MSEC=8.77
CLIENT TRANS SUCCESS: QPS=147634.00, N=147634, AVG LAT MSEC=3.38, MIN LAT MSEC=1.15, MAX LAT MSEC=12.27
CLIENT TRANS SUCCESS: QPS=146249.00, N=146249, AVG LAT MSEC=3.42, MIN LAT MSEC=1.49, MAX LAT MSEC=9.31
CLIENT TRANS SUCCESS: QPS=141700.00, N=141700, AVG LAT MSEC=3.53, MIN LAT MSEC=0.58, MAX LAT MSEC=9.17
CLIENT TRANS SUCCESS: QPS=137923.00, N=137923, AVG LAT MSEC=3.62, MIN LAT MSEC=0.92, MAX LAT MSEC=11.91
CLIENT TRANS SUCCESS: QPS=142666.00, N=142666, AVG LAT MSEC=3.50, MIN LAT MSEC=1.50, MAX LAT MSEC=9.18
CLIENT TRANS SUCCESS: QPS=140646.00, N=140646, AVG LAT MSEC=3.55, MIN LAT MSEC=1.47, MAX LAT MSEC=9.51
CLIENT TRANS SUCCESS: QPS=139730.00, N=139730, AVG LAT MSEC=3.58, MIN LAT MSEC=1.52, MAX LAT MSEC=12.85
CLIENT TRANS SUCCESS: QPS=141431.00, N=141431, AVG LAT MSEC=3.53, MIN LAT MSEC=1.49, MAX LAT MSEC=8.77
CLIENT TRANS SUCCESS: QPS=133331.00, N=133331, AVG LAT MSEC=3.75, MIN LAT MSEC=0.97, MAX LAT MSEC=13.02
CLIENT TRANS SUCCESS: QPS=137924.00, N=137924, AVG LAT MSEC=3.62, MIN LAT MSEC=1.54, MAX LAT MSEC=15.70
CLIENT TRANS SUCCESS: QPS=32189.00, N=32189, AVG LAT MSEC=2.92, MIN LAT MSEC=0.05, MAX LAT MSEC=6.79
SERVER CONNECTION ACCEPTS: 503
SERVER AVG TRANS PER CONNECTION: 4970.18

./http/proxy/http-client-server-test -c 500 -i 5000 -r 0

# similar slowdown from about 50k to 40k, but max latency much much less.  What's with the
# occasional > 1 second max latencies?

CLIENT TRANS SUCCESS: QPS=24244.00, N=24244, AVG LAT MSEC=7.43, MIN LAT MSEC=0.11, MAX LAT MSEC=43.33
CLIENT TRANS SUCCESS: QPS=49199.00, N=49199, AVG LAT MSEC=11.03, MIN LAT MSEC=3.90, MAX LAT MSEC=1024.97
CLIENT TRANS SUCCESS: QPS=49192.00, N=49192, AVG LAT MSEC=10.16, MIN LAT MSEC=3.73, MAX LAT MSEC=17.65
CLIENT TRANS SUCCESS: QPS=48491.00, N=48491, AVG LAT MSEC=10.31, MIN LAT MSEC=4.25, MAX LAT MSEC=19.10
CLIENT TRANS SUCCESS: QPS=45878.00, N=45878, AVG LAT MSEC=10.89, MIN LAT MSEC=3.52, MAX LAT MSEC=20.59
CLIENT TRANS SUCCESS: QPS=48879.00, N=48879, AVG LAT MSEC=10.23, MIN LAT MSEC=3.91, MAX LAT MSEC=16.89
CLIENT TRANS SUCCESS: QPS=48737.00, N=48737, AVG LAT MSEC=10.26, MIN LAT MSEC=3.65, MAX LAT MSEC=18.06
CLIENT TRANS SUCCESS: QPS=48202.00, N=48202, AVG LAT MSEC=10.35, MIN LAT MSEC=4.29, MAX LAT MSEC=20.11
CLIENT TRANS SUCCESS: QPS=45605.00, N=45605, AVG LAT MSEC=10.95, MIN LAT MSEC=3.88, MAX LAT MSEC=18.16
