jblatt@ubuntu-dev:~/src/duderino/everscale$ ./http/proxy/http-client-server-test -c 500 -i 5000 -r 1

# resuls vs 03-30-20.txt had a mild degredation from moving buffers to sockets and allocating from buffer pools,
# but the degredation was offset by increasing io buffer size from 4k to 32k.  Increasing beyond 32k didn't yield
# an improvement, but that could simply reflect the traffic pattern.

CLIENT TRANS SUCCESS: QPS=9578.00, N=9578, LATENCY MSEC MEAN=4.88, VAR=112.14, MIN=0.58, MAX=88.72
CLIENT TRANS SUCCESS: QPS=167497.00, N=167497, LATENCY MSEC MEAN=2.98, VAR=1.24, MIN=0.37, MAX=13.82
CLIENT TRANS SUCCESS: QPS=168835.00, N=168835, LATENCY MSEC MEAN=2.96, VAR=0.90, MIN=0.38, MAX=10.25
CLIENT TRANS SUCCESS: QPS=175534.00, N=175534, LATENCY MSEC MEAN=2.85, VAR=0.79, MIN=0.64, MAX=7.38
CLIENT TRANS SUCCESS: QPS=177460.00, N=177460, LATENCY MSEC MEAN=2.82, VAR=0.70, MIN=0.36, MAX=7.95
CLIENT TRANS SUCCESS: QPS=157615.00, N=157615, LATENCY MSEC MEAN=3.17, VAR=1.09, MIN=0.32, MAX=12.22
CLIENT TRANS SUCCESS: QPS=162473.00, N=162473, LATENCY MSEC MEAN=3.08, VAR=0.93, MIN=0.44, MAX=7.99
CLIENT TRANS SUCCESS: QPS=181581.00, N=181581, LATENCY MSEC MEAN=2.75, VAR=0.65, MIN=0.38, MAX=7.94
CLIENT TRANS SUCCESS: QPS=160264.00, N=160264, LATENCY MSEC MEAN=3.12, VAR=1.05, MIN=0.49, MAX=13.65
CLIENT TRANS SUCCESS: QPS=172551.00, N=172551, LATENCY MSEC MEAN=2.89, VAR=0.77, MIN=0.62, MAX=7.96
CLIENT TRANS SUCCESS: QPS=165984.00, N=165984, LATENCY MSEC MEAN=3.01, VAR=1.02, MIN=0.41, MAX=9.17
