jblatt@ubuntu-dev:~/src/duderino/everscale$ ./http/proxy/http-client-server-test -c 500 -i 5000 -r 1

# results vs 04-01-20.txt reduced variance in latency by allocating memory for io buffers in chunks of 1000.

CLIENT TRANS SUCCESS: QPS=58221.00, N=58221, LATENCY MSEC MEAN=3.49, VAR=20.71, MIN=1.20, MAX=92.16
CLIENT TRANS SUCCESS: QPS=184934.00, N=184934, LATENCY MSEC MEAN=2.70, VAR=0.75, MIN=0.76, MAX=19.84
CLIENT TRANS SUCCESS: QPS=185951.00, N=185951, LATENCY MSEC MEAN=2.69, VAR=0.32, MIN=0.54, MAX=7.25
CLIENT TRANS SUCCESS: QPS=181150.00, N=181150, LATENCY MSEC MEAN=2.76, VAR=0.48, MIN=0.79, MAX=10.01
CLIENT TRANS SUCCESS: QPS=174951.00, N=174951, LATENCY MSEC MEAN=2.86, VAR=0.54, MIN=1.02, MAX=8.04
CLIENT TRANS SUCCESS: QPS=177324.00, N=177324, LATENCY MSEC MEAN=2.82, VAR=0.49, MIN=0.88, MAX=8.35
CLIENT TRANS SUCCESS: QPS=166907.00, N=166907, LATENCY MSEC MEAN=2.99, VAR=0.63, MIN=0.52, MAX=8.48
CLIENT TRANS SUCCESS: QPS=168215.00, N=168215, LATENCY MSEC MEAN=2.97, VAR=0.53, MIN=0.88, MAX=8.80
CLIENT TRANS SUCCESS: QPS=172883.00, N=172883, LATENCY MSEC MEAN=2.89, VAR=0.37, MIN=0.92, MAX=7.95
CLIENT TRANS SUCCESS: QPS=168942.00, N=168942, LATENCY MSEC MEAN=2.96, VAR=0.57, MIN=1.01, MAX=8.54
CLIENT TRANS SUCCESS: QPS=166035.00, N=166035, LATENCY MSEC MEAN=3.01, VAR=0.52, MIN=0.89, MAX=8.60
CLIENT TRANS SUCCESS: QPS=170915.00, N=170915, LATENCY MSEC MEAN=2.92, VAR=0.59, MIN=0.89, MAX=9.31
CLIENT TRANS SUCCESS: QPS=163426.00, N=163426, LATENCY MSEC MEAN=3.06, VAR=0.61, MIN=0.99, MAX=8.83
CLIENT TRANS SUCCESS: QPS=168417.00, N=168417, LATENCY MSEC MEAN=2.97, VAR=0.70, MIN=0.86, MAX=11.77
CLIENT TRANS SUCCESS: QPS=157588.00, N=157588, LATENCY MSEC MEAN=3.08, VAR=0.71, MIN=0.08, MAX=8.26
CLIENT TRANS SUCCESS: QPS=34141.00, N=34141, LATENCY MSEC MEAN=3.34, VAR=0.49, MIN=0.05, MAX=8.57
SERVER CONNECTION ACCEPTS: 503
SERVER AVG TRANS PER CONNECTION: N=503, MEAN=4970.18, VAR=31832.20, MIN=4812.00, MAX=5392.00

jblatt@ubuntu-dev:~/src/duderino/everscale$ ./http/proxy/http-client-server-test -c 500 -i 5000 -r 0

CLIENT TRANS SUCCESS: QPS=40466.00, N=40466, LATENCY MSEC MEAN=12.37, VAR=5.35, MIN=4.39, MAX=19.46
CLIENT TRANS SUCCESS: QPS=43840.00, N=43840, LATENCY MSEC MEAN=11.38, VAR=5.19, MIN=4.25, MAX=18.93
CLIENT TRANS SUCCESS: QPS=38420.00, N=38420, LATENCY MSEC MEAN=13.06, VAR=6.56, MIN=4.11, MAX=20.53
CLIENT TRANS SUCCESS: QPS=42317.00, N=42317, LATENCY MSEC MEAN=11.82, VAR=5.12, MIN=3.69, MAX=18.18
