jblatt@ubuntu-dev:~/src/duderino/everscale$ ./http/proxy/http-client-server-test -c 500 -i 5000 -r 1

# results vs 04-06-20.txt... split io buffs between send and recv buffs with no ill effect.

CLIENT TRANS SUCCESS: QPS=173525.00, N=173525, LATENCY MSEC MEAN=2.95, VAR=6.56, MIN=0.26, MAX=85.69
CLIENT TRANS SUCCESS: QPS=173054.00, N=173054, LATENCY MSEC MEAN=2.89, VAR=0.40, MIN=1.05, MAX=7.81
CLIENT TRANS SUCCESS: QPS=175305.00, N=175305, LATENCY MSEC MEAN=2.85, VAR=0.32, MIN=1.03, MAX=7.64
CLIENT TRANS SUCCESS: QPS=173042.00, N=173042, LATENCY MSEC MEAN=2.89, VAR=0.48, MIN=1.12, MAX=8.67
CLIENT TRANS SUCCESS: QPS=177992.00, N=177992, LATENCY MSEC MEAN=2.81, VAR=0.32, MIN=0.65, MAX=7.49
CLIENT TRANS SUCCESS: QPS=176765.00, N=176765, LATENCY MSEC MEAN=2.83, VAR=0.32, MIN=0.60, MAX=7.65
CLIENT TRANS SUCCESS: QPS=181297.00, N=181297, LATENCY MSEC MEAN=2.76, VAR=0.48, MIN=0.79, MAX=9.71
CLIENT TRANS SUCCESS: QPS=182266.00, N=182266, LATENCY MSEC MEAN=2.74, VAR=0.33, MIN=1.00, MAX=7.47
CLIENT TRANS SUCCESS: QPS=182026.00, N=182026, LATENCY MSEC MEAN=2.75, VAR=0.31, MIN=1.03, MAX=7.54
CLIENT TRANS SUCCESS: QPS=161572.00, N=161572, LATENCY MSEC MEAN=3.09, VAR=0.60, MIN=1.07, MAX=9.54
CLIENT TRANS SUCCESS: QPS=170966.00, N=170966, LATENCY MSEC MEAN=2.92, VAR=0.33, MIN=0.63, MAX=8.49
CLIENT TRANS SUCCESS: QPS=171021.00, N=171021, LATENCY MSEC MEAN=2.92, VAR=0.29, MIN=1.11, MAX=8.03
CLIENT TRANS SUCCESS: QPS=166336.00, N=166336, LATENCY MSEC MEAN=3.01, VAR=0.86, MIN=0.58, MAX=17.54
CLIENT TRANS SUCCESS: QPS=174744.00, N=174744, LATENCY MSEC MEAN=2.86, VAR=0.49, MIN=1.00, MAX=11.78
CLIENT TRANS SUCCESS: QPS=60089.00, N=60089, LATENCY MSEC MEAN=2.94, VAR=0.55, MIN=0.04, MAX=6.25
SERVER CONNECTION ACCEPTS: 503
SERVER AVG TRANS PER CONNECTION: N=503, MEAN=4970.18, VAR=50568.90, MIN=4699.00, MAX=5281.00

jblatt@ubuntu-dev:~/src/duderino/everscale$ ./http/proxy/http-client-server-test -c 500 -i 5000 -r 0

CLIENT TRANS SUCCESS: QPS=41256.00, N=41256, LATENCY MSEC MEAN=10.39, VAR=45.96, MIN=3.59, MAX=122.08
CLIENT TRANS SUCCESS: QPS=51906.00, N=51906, LATENCY MSEC MEAN=9.62, VAR=1.11, MIN=3.56, MAX=16.90
CLIENT TRANS SUCCESS: QPS=44510.00, N=44510, LATENCY MSEC MEAN=11.25, VAR=5.51, MIN=4.03, MAX=22.74
CLIENT TRANS SUCCESS: QPS=50130.00, N=50130, LATENCY MSEC MEAN=9.97, VAR=1.10, MIN=4.27, MAX=17.62
CLIENT TRANS SUCCESS: QPS=51499.00, N=51499, LATENCY MSEC MEAN=9.71, VAR=0.30, MIN=3.90, MAX=13.42
CLIENT TRANS SUCCESS: QPS=50855.00, N=50855, LATENCY MSEC MEAN=9.84, VAR=1.13, MIN=3.70, MAX=17.90
CLIENT TRANS SUCCESS: QPS=50104.00, N=50104, LATENCY MSEC MEAN=9.97, VAR=1.05, MIN=4.30, MAX=16.32
CLIENT TRANS SUCCESS: QPS=49592.00, N=49592, LATENCY MSEC MEAN=10.09, VAR=1.52, MIN=4.51, MAX=20.98
CLIENT TRANS SUCCESS: QPS=51096.00, N=51096, LATENCY MSEC MEAN=9.78, VAR=0.60, MIN=3.84, MAX=16.02
CLIENT TRANS SUCCESS: QPS=48407.00, N=48407, LATENCY MSEC MEAN=10.32, VAR=0.84, MIN=4.19, MAX=16.66
CLIENT TRANS SUCCESS: QPS=46246.00, N=46246, LATENCY MSEC MEAN=10.80, VAR=1.39, MIN=3.82, MAX=18.68
CLIENT TRANS SUCCESS: QPS=48269.00, N=48269, LATENCY MSEC MEAN=10.37, VAR=1.39, MIN=3.96, MAX=18.34
CLIENT TRANS SUCCESS: QPS=47591.00, N=47591, LATENCY MSEC MEAN=10.50, VAR=1.20, MIN=3.95, MAX=17.66
CLIENT TRANS SUCCESS: QPS=49781.00, N=49781, LATENCY MSEC MEAN=10.05, VAR=1.45, MIN=3.17, MAX=17.07
CLIENT TRANS SUCCESS: QPS=46587.00, N=46587, LATENCY MSEC MEAN=10.73, VAR=1.48, MIN=4.21, MAX=21.59
CLIENT TRANS SUCCESS: QPS=45937.00, N=45937, LATENCY MSEC MEAN=10.87, VAR=1.70, MIN=3.34, MAX=19.94
CLIENT TRANS SUCCESS: QPS=46642.00, N=46642, LATENCY MSEC MEAN=10.72, VAR=1.59, MIN=4.45, MAX=18.38
CLIENT TRANS SUCCESS: QPS=47696.00, N=47696, LATENCY MSEC MEAN=10.49, VAR=1.76, MIN=3.64, MAX=18.39
CLIENT TRANS SUCCESS: QPS=45942.00, N=45942, LATENCY MSEC MEAN=10.88, VAR=2.06, MIN=4.42, MAX=18.49
CLIENT TRANS SUCCESS: QPS=47052.00, N=47052, LATENCY MSEC MEAN=10.62, VAR=0.60, MIN=4.70, MAX=17.65
CLIENT TRANS SUCCESS: QPS=46615.00, N=46615, LATENCY MSEC MEAN=10.73, VAR=1.19, MIN=3.04, MAX=18.59
CLIENT TRANS SUCCESS: QPS=44803.00, N=44803, LATENCY MSEC MEAN=11.16, VAR=1.72, MIN=3.73, MAX=19.40
CLIENT TRANS SUCCESS: QPS=43032.00, N=43032, LATENCY MSEC MEAN=11.62, VAR=2.53, MIN=3.85, MAX=19.19
CLIENT TRANS SUCCESS: QPS=44854.00, N=44854, LATENCY MSEC MEAN=11.14, VAR=1.91, MIN=4.67, MAX=18.65
CLIENT TRANS SUCCESS: QPS=46551.00, N=46551, LATENCY MSEC MEAN=10.74, VAR=0.66, MIN=3.94, MAX=18.38
CLIENT TRANS SUCCESS: QPS=46647.00, N=46647, LATENCY MSEC MEAN=10.41, VAR=1.43, MIN=3.79, MAX=17.82
CLIENT TRANS SUCCESS: QPS=44396.00, N=44396, LATENCY MSEC MEAN=10.54, VAR=1168.81, MIN=3.16, MAX=1039.89
CLIENT TRANS SUCCESS: QPS=44636.00, N=44636, LATENCY MSEC MEAN=12.24, VAR=1446.26, MIN=3.99, MAX=1016.55
CLIENT TRANS SUCCESS: QPS=44123.00, N=44123, LATENCY MSEC MEAN=11.33, VAR=1.32, MIN=4.71, MAX=19.25
CLIENT TRANS SUCCESS: QPS=45515.00, N=45515, LATENCY MSEC MEAN=10.98, VAR=2.36, MIN=3.66, MAX=21.00
CLIENT TRANS SUCCESS: QPS=44186.00, N=44186, LATENCY MSEC MEAN=11.31, VAR=2.61, MIN=4.99, MAX=20.15
CLIENT TRANS SUCCESS: QPS=45023.00, N=45023, LATENCY MSEC MEAN=11.11, VAR=1.36, MIN=4.28, MAX=17.53
CLIENT TRANS SUCCESS: QPS=44181.00, N=44181, LATENCY MSEC MEAN=11.30, VAR=1.56, MIN=4.58, MAX=19.35
